ingredient,item,area,iso3c,mean_value,cf,X7
corn gluten meal,Maize,United States of America,USA,367813762,0.06,http://countrystat.org/resources/documents/tcf.pdf
corn gluten meal,Maize,"China, mainland",CHN,261125760,0.1,http://countrystat.org/resources/documents/tcf.pdf
corn gluten meal,Maize,Brazil,BRA,86174997.2,0.15,http://countrystat.org/resources/documents/tcf.pdf
corn gluten meal,Maize,Argentina,ARG,44681904,0.12,http://countrystat.org/resources/documents/tcf.pdf
corn gluten meal,Maize,Ukraine,UKR,29550406,0.15,http://countrystat.org/resources/documents/tcf.pdf
corn gluten meal,Maize,Mexico,MEX,27021010.2,0.15,http://countrystat.org/resources/documents/tcf.pdf
corn gluten meal,Maize,India,IND,26167570,0.1,http://countrystat.org/resources/documents/tcf.pdf
corn gluten meal,Maize,Indonesia,IDN,24990960.2,0.11,Used median of other values as item missing from Indonesia in FAO 1972
corn gluten meal,Maize,Romania,ROU,14038009.4,0.11,Used median of other values as item missing from Indonesia in FAO 1972
corn gluten meal,Maize,Canada,CAN,13790540,0.1,http://countrystat.org/resources/documents/tcf.pdf
pea starch,"Peas, dry",Canada,CAN,3993200,0.75,https://onlinelibrary-wiley-com.ezproxy.library.uq.edu.au/doi/pdf/10.1002/1521-379X%28200206%2954%3A6%3C217%3A%3AAID-STAR217%3E3.0.CO%3B2-R
pea starch,"Peas, dry",Russian Federation,RUS,2374679,0.75,https://onlinelibrary-wiley-com.ezproxy.library.uq.edu.au/doi/pdf/10.1002/1521-379X%28200206%2954%3A6%3C217%3A%3AAID-STAR217%3E3.0.CO%3B2-R
pea starch,"Peas, dry","China, mainland",CHN,1426146.2,0.75,https://onlinelibrary-wiley-com.ezproxy.library.uq.edu.au/doi/pdf/10.1002/1521-379X%28200206%2954%3A6%3C217%3A%3AAID-STAR217%3E3.0.CO%3B2-R
pea starch,"Peas, dry",United States of America,USA,893714.6,0.75,https://onlinelibrary-wiley-com.ezproxy.library.uq.edu.au/doi/pdf/10.1002/1521-379X%28200206%2954%3A6%3C217%3A%3AAID-STAR217%3E3.0.CO%3B2-R
pea starch,"Peas, dry",India,IND,889426,0.75,https://onlinelibrary-wiley-com.ezproxy.library.uq.edu.au/doi/pdf/10.1002/1521-379X%28200206%2954%3A6%3C217%3A%3AAID-STAR217%3E3.0.CO%3B2-R
pea starch,"Peas, dry",Ukraine,UKR,714132,0.75,https://onlinelibrary-wiley-com.ezproxy.library.uq.edu.au/doi/pdf/10.1002/1521-379X%28200206%2954%3A6%3C217%3A%3AAID-STAR217%3E3.0.CO%3B2-R
pea starch,"Peas, dry",France,FRA,665158.2,0.75,https://onlinelibrary-wiley-com.ezproxy.library.uq.edu.au/doi/pdf/10.1002/1521-379X%28200206%2954%3A6%3C217%3A%3AAID-STAR217%3E3.0.CO%3B2-R
pea starch,"Peas, dry",Ethiopia,ETH,369238.8,0.75,https://onlinelibrary-wiley-com.ezproxy.library.uq.edu.au/doi/pdf/10.1002/1521-379X%28200206%2954%3A6%3C217%3A%3AAID-STAR217%3E3.0.CO%3B2-R
pea starch,"Peas, dry",Lithuania,LTU,289089.2,0.75,https://onlinelibrary-wiley-com.ezproxy.library.uq.edu.au/doi/pdf/10.1002/1521-379X%28200206%2954%3A6%3C217%3A%3AAID-STAR217%3E3.0.CO%3B2-R
pea starch,"Peas, dry",Australia,AUS,277370.2,0.75,https://onlinelibrary-wiley-com.ezproxy.library.uq.edu.au/doi/pdf/10.1002/1521-379X%28200206%2954%3A6%3C217%3A%3AAID-STAR217%3E3.0.CO%3B2-R
pea protein concentrate,"Peas, dry",Canada,CAN,3993200,0.23,blanket value from https://link.springer.com/article/10.1007/BF01091191
pea protein concentrate,"Peas, dry",Russian Federation,RUS,2374679,0.23,blanket value from https://link.springer.com/article/10.1007/BF01091192
pea protein concentrate,"Peas, dry","China, mainland",CHN,1426146.2,0.23,blanket value from https://link.springer.com/article/10.1007/BF01091193
pea protein concentrate,"Peas, dry",United States of America,USA,893714.6,0.23,blanket value from https://link.springer.com/article/10.1007/BF01091194
pea protein concentrate,"Peas, dry",India,IND,889426,0.23,blanket value from https://link.springer.com/article/10.1007/BF01091195
pea protein concentrate,"Peas, dry",Ukraine,UKR,714132,0.23,blanket value from https://link.springer.com/article/10.1007/BF01091196
pea protein concentrate,"Peas, dry",France,FRA,665158.2,0.23,blanket value from https://link.springer.com/article/10.1007/BF01091197
pea protein concentrate,"Peas, dry",Ethiopia,ETH,369238.8,0.23,blanket value from https://link.springer.com/article/10.1007/BF01091198
pea protein concentrate,"Peas, dry",Lithuania,LTU,289089.2,0.23,blanket value from https://link.springer.com/article/10.1007/BF01091199
pea protein concentrate,"Peas, dry",Australia,AUS,277370.2,0.23,blanket value from https://link.springer.com/article/10.1007/BF01091200
guar meal,Pulses nes,India,IND,959858.6,0.58,guar is ~half endosperm which yield 42% gum - the remaining byproduct is meal https://www.cambridge.org/core/journals/world-s-poultry-science-journal/article/feeding-value-of-guar-meal-and-the-application-of-enzymes-in-improving-nutritive-value-for-broilers/25A35A7C5F735647D3B08C37C1211EAF
guar meal,Pulses nes,Kenya,KEN,122352.4,0.58,guar is ~half endosperm which yield 42% gum - the remaining byproduct is meal https://www.cambridge.org/core/journals/world-s-poultry-science-journal/article/feeding-value-of-guar-meal-and-the-application-of-enzymes-in-improving-nutritive-value-for-broilers/25A35A7C5F735647D3B08C37C1211EAF
guar meal,Pulses nes,Ethiopia,ETH,111388,0.58,guar is ~half endosperm which yield 42% gum - the remaining byproduct is meal https://www.cambridge.org/core/journals/world-s-poultry-science-journal/article/feeding-value-of-guar-meal-and-the-application-of-enzymes-in-improving-nutritive-value-for-broilers/25A35A7C5F735647D3B08C37C1211EAF
guar meal,Pulses nes,United Republic of Tanzania,TZA,105882.6,0.58,guar is ~half endosperm which yield 42% gum - the remaining byproduct is meal https://www.cambridge.org/core/journals/world-s-poultry-science-journal/article/feeding-value-of-guar-meal-and-the-application-of-enzymes-in-improving-nutritive-value-for-broilers/25A35A7C5F735647D3B08C37C1211EAF
guar meal,Pulses nes,Sudan,SDN,90451,0.58,guar is ~half endosperm which yield 42% gum - the remaining byproduct is meal https://www.cambridge.org/core/journals/world-s-poultry-science-journal/article/feeding-value-of-guar-meal-and-the-application-of-enzymes-in-improving-nutritive-value-for-broilers/25A35A7C5F735647D3B08C37C1211EAF
guar meal,Pulses nes,Sierra Leone,SLE,77381.8,0.58,guar is ~half endosperm which yield 42% gum - the remaining byproduct is meal https://www.cambridge.org/core/journals/world-s-poultry-science-journal/article/feeding-value-of-guar-meal-and-the-application-of-enzymes-in-improving-nutritive-value-for-broilers/25A35A7C5F735647D3B08C37C1211EAF
guar meal,Pulses nes,Nigeria,NGA,65753.8,0.58,guar is ~half endosperm which yield 42% gum - the remaining byproduct is meal https://www.cambridge.org/core/journals/world-s-poultry-science-journal/article/feeding-value-of-guar-meal-and-the-application-of-enzymes-in-improving-nutritive-value-for-broilers/25A35A7C5F735647D3B08C37C1211EAF
guar meal,Pulses nes,Pakistan,PAK,63128.6,0.58,guar is ~half endosperm which yield 42% gum - the remaining byproduct is meal https://www.cambridge.org/core/journals/world-s-poultry-science-journal/article/feeding-value-of-guar-meal-and-the-application-of-enzymes-in-improving-nutritive-value-for-broilers/25A35A7C5F735647D3B08C37C1211EAF
guar meal,Pulses nes,Guinea,GIN,57544.8,0.58,guar is ~half endosperm which yield 42% gum - the remaining byproduct is meal https://www.cambridge.org/core/journals/world-s-poultry-science-journal/article/feeding-value-of-guar-meal-and-the-application-of-enzymes-in-improving-nutritive-value-for-broilers/25A35A7C5F735647D3B08C37C1211EAF
guar meal,Pulses nes,Central African Republic,CAF,46728.6,0.58,guar is ~half endosperm which yield 42% gum - the remaining byproduct is meal https://www.cambridge.org/core/journals/world-s-poultry-science-journal/article/feeding-value-of-guar-meal-and-the-application-of-enzymes-in-improving-nutritive-value-for-broilers/25A35A7C5F735647D3B08C37C1211EAF
canola/camelina oil,Rapeseed,Canada,CAN,19911740,0.41,http://countrystat.org/resources/documents/tcf.pdf
canola/camelina oil,Rapeseed,"China, mainland",CHN,13405400,0.35,http://countrystat.org/resources/documents/tcf.pdf
canola/camelina oil,Rapeseed,India,IND,7736348,0.35,http://countrystat.org/resources/documents/tcf.pdf
canola/camelina oil,Rapeseed,France,FRA,4779711.2,0.42,http://countrystat.org/resources/documents/tcf.pdf
canola/camelina oil,Rapeseed,Germany,DEU,4074440,0.41,http://countrystat.org/resources/documents/tcf.pdf
canola/camelina oil,Rapeseed,Australia,AUS,3377528,0.45,http://countrystat.org/resources/documents/tcf.pdf
canola/camelina oil,Rapeseed,Poland,POL,2398354.2,0.39,http://countrystat.org/resources/documents/tcf.pdf
canola/camelina oil,Rapeseed,Ukraine,UKR,2223444,0.38,http://countrystat.org/resources/documents/tcf.pdf
