raw_material,Impact category,Unit,AR,AT,BG,BR,CA,CH,CN,CZ,DE,ES,FR,GR,HU,IN,IT,JP,MX,PY,RO,RU,SI,SK,TR,UA,VN
Soybeans,Climate change - Land use and LU change,kg CO2 eq,5.214860784,0.204890064,0.191679986,5.250896391,0.695583386,0,0,0.337645912,0.184107606,0,0.23213397,0.220687093,0.559532958,1.619558976,0.147685112,0.528164613,0.10068286,9.531903897,0.211022769,0.18811172,0.456681752,0.772441594,0.015333487,0.271626876,0
Soybeans,"Human toxicity, non-cancer - organics",CTUh,8.16894E-09,3.81892E-09,2.96371E-09,1.52011E-08,3.6814E-09,4.42654E-09,2.79816E-08,3.79394E-09,1.04703E-08,4.46278E-09,3.67847E-09,1.02241E-08,3.61206E-09,2.43227E-09,6.61018E-09,8.50368E-08,1.36182E-08,5.76415E-08,1.73914E-09,4.34036E-09,2.56306E-09,2.73069E-09,3.43539E-09,1.15651E-08,6.46301E-09
Soybeans,"Human toxicity, non-cancer - inorganics",CTUh,6.59328E-11,9.97696E-11,9.83487E-11,6.79413E-11,4.9269E-11,1.67474E-10,1.70084E-10,9.54352E-11,1.43265E-10,5.49481E-10,1.75836E-10,8.13498E-11,8.98261E-11,1.28295E-10,9.9987E-11,2.36845E-10,5.38467E-10,6.10252E-11,1.34797E-10,8.29807E-11,1.29471E-10,1.32551E-10,5.02362E-11,9.13355E-11,1.61865E-10
Soybeans,"Human toxicity, non-cancer - metals",CTUh,7.93879E-09,6.22891E-08,2.54971E-08,5.49314E-08,2.42611E-08,1.23305E-07,6.721E-08,4.32937E-08,8.71393E-08,3.14871E-08,4.55202E-08,2.1861E-08,4.07092E-08,5.00232E-08,4.42219E-08,1.6253E-07,6.57304E-08,1.01711E-08,3.26051E-08,3.48506E-08,8.91239E-08,5.18261E-08,2.35166E-08,2.21907E-08,1.03677E-07
Soybeans,"Human toxicity, cancer - organics",CTUh,4.14041E-11,4.32205E-11,5.94106E-11,4.071E-11,2.91901E-11,5.03737E-11,8.77902E-11,3.80514E-11,4.35383E-11,1.54859E-10,3.88848E-11,3.86528E-11,4.62042E-11,7.15466E-11,3.80671E-11,1.07443E-10,7.15985E-11,4.58208E-11,7.39269E-11,4.91776E-11,4.87224E-11,4.50361E-11,2.76288E-11,6.39062E-11,6.1863E-11
Soybeans,"Human toxicity, cancer - inorganics",CTUh,3.26411E-20,1.34711E-20,4.89449E-21,1.59429E-20,1.35989E-20,2.66233E-20,5.25689E-20,1.4288E-20,2.38845E-20,1.03472E-20,2.01774E-20,5.67022E-21,1.13925E-20,2.85492E-21,1.0805E-20,7.76469E-20,1.8841E-20,2.40269E-20,5.02497E-21,4.82518E-21,2.1074E-20,1.09429E-20,3.78867E-21,2.01007E-20,9.25797E-21
Soybeans,"Human toxicity, cancer - metals",CTUh,2.31427E-10,2.99421E-09,6.24747E-10,1.10997E-09,5.02012E-10,6.71496E-09,2.12226E-09,1.35007E-09,4.25691E-09,1.96389E-09,1.45017E-09,5.62912E-10,1.33304E-09,5.42977E-10,1.50454E-09,4.04529E-09,2.70837E-09,3.66049E-10,1.21966E-09,1.14693E-09,2.99461E-09,1.3272E-09,2.25194E-10,6.83478E-10,2.24407E-09
Soybeans,"Ecotoxicity, freshwater - organics",CTUe,84.35871586,50.03163448,37.68993297,176.9074407,39.24390871,57.62599013,321.5550479,42.37143658,135.0066183,58.5235326,47.68332222,132.4103011,46.52609129,27.95775239,87.88928501,1016.360655,144.1244311,682.6066062,21.73492934,50.61701591,35.89455676,34.01538992,40.91442604,131.6048521,74.55566289
Soybeans,"Ecotoxicity, freshwater - inorganics",CTUe,0.13767997,0.574848736,0.488980991,0.272780595,0.169771582,1.092973305,0.752381607,0.550413806,0.87720993,0.832684699,0.466282659,0.406252085,0.451957512,0.702618203,0.653827804,1.119680833,1.598434842,0.158461935,0.59307294,0.400180065,0.726311831,0.63135764,0.260708833,0.354892344,1.058168037
Soybeans,"Ecotoxicity, freshwater - metals",CTUe,-0.102104358,0.993472196,0.123839478,0.843979954,0.179601098,1.934390944,1.898980566,0.655057406,1.350698271,1.536624986,1.262591787,0.039197655,0.579035576,0.688732352,0.917764043,6.503923612,2.943784879,0.014321516,0.158957285,0.231080965,2.287399437,0.62538163,0.220511718,0.221809001,1.508629132
