common_name,sci_name
Cuban anchovy,Anchoa cubana
Bay anchovy,Anchoa mitchilli
Big-eye anchovy,Anchoa lamprotaenia
Shortfinger anchovy,Anchoa lyolepis
Spicule anchovy,Anchoa spinifer
Piquitinga anchovy,Anchoa tricolor
Trinidad anchovy,Anchoa trinitatis
Bigscale anchovy,Anchovia macrolepidota
Zabaleta anchovy,Anchovia clupeoides
Cayenne anchovy,Anchoviella cayennensis
Elongate anchovy,Anchoviella elongata
Snubnose anchovy,Anchoviella brevirostris
Goldspotted grenadier anchovy,Coilia dussumieri
Longjaw grenadier anchovy,Coilia macrognathos
Osbeck's grenadier anchovy,Coilia mystus
Shorthead hairfin anchovy,Setipinna breviceps
Scaly hairfin anchovy,Setipinna taty
Commerson's anchovy,Stolephorus commersonii
Bagan anchovy,Stolephorus baganensis
China anchovy,Stolephorus chinensis
Indian anchovy,Stolephorus indicus
Hardenberg's anchovy,Stolephorus insularis
Spined anchovy,Stolephorus tri
Spotty-face anchovy,Stolephorus waitei
Andhra anchovy,Stolephorus andhraensis
Broadhead anchovy,Stolephorus brachycephalus
Gulf of Carpenteria anchovy,Stolephorus carpentariae
Stolephorus anchovies nei,Stolephorus spp
Hamilton's thryssa,Thryssa hamiltonii
Orangemouth anchovy,Thryssa vitrirostris
Malabar thryssa,Thryssa malabarica
Moustached thryssa,Thryssa mystax
Oblique-jaw thryssa,Thryssa purava
Baelama anchovy,Thryssa baelama
Longjaw thryssa,Thryssa setirostris
Dussumier's thryssa,Thryssa dussumieri
False baelama anchovy,Thryssa encrasicholoides
Kammal thryssa,Thryssa kammalensis
Whitehead's thryssa,Thryssa whiteheadi
Short-tail thryssa,Thryssa brevicauda
"Anchovies, etc. nei",Engraulidae
Dorab wolf-herring,Chirocentrus dorab
Whitefin wolf-herring,Chirocentrus nudus
Wolf-herrings nei,Chirocentrus spp
Clupeoids nei,Clupeoidei
NA,Engraulis ringens
NA,Clupea harengus
NA,Engraulis japonicus
NA,Sardina pilchardus
NA,Mallotus villosus
NA,Strangomera bentincki
NA,Brevoortia patronus
NA,Sardinella longiceps
NA,Engraulis encrasicolus
NA,Cololabis saira
NA,Clupea pallasii
NA,Trachurus murphyi
NA,Larimichthys polyactis
NA,Sprattus sprattus
NA,Micromesistius poutassou
NA,Sardinops caeruleus
Antarctic krill,Euphausia superba
Atlantic mackerel,Scomber scombrus
Blue whiting,Micromesistius poutassou
Boarfish,Capros aper
Capelin,Mallotus villosus
Chilean jack,Trachurus murphyi
Gulf menhaden,Brevoorti patronus
Norway pout,Trisopterus esmarkii
Peruvian anchovy,Engraulis ringens
Sandeels,Ammodytes tobianus
