3Alpha_Code,Taxonomic_Code,Name_en,Name_fr,Name_es,Name_ar,Name_cn,Name_ru,Scientific_Name,Author,Family_Group,Order_Group,Major_Group,Yearbook_Group,ISSCAAP_Group,CPC_Group,CPCdiv_Group
ANA,1210600206,Argentine anchovy,Anchois d'Argentine,Anchoíta,NA,NA,Анчоус аргентинский,Engraulis anchoita,Hubbs & Marini 1935,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
NPA,1210600207,Californian anchovy,Anchois de Californie,Anchoa de California,NA,NA,NA,Engraulis mordax,Girard 1854,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
VET,1210600208,Anchoveta(=Peruvian anchovy),Anchois du Pérou,Anchoveta,بلم، أنشوفة بيروفية,秘鲁鳀,NA,Engraulis ringens,Jenyns 1842,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ANC,1210600212,Southern African anchovy,Anchois de l'Afrique australe,Anchoa de Africa austral,NA,NA,NA,Engraulis capensis,Gilchrist 1913,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ENR,12106002XX,Anchovies nei,Anchois nca,Anchoas nep,NA,NA,NA,Engraulis spp,NA,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
END,1210600701,Devis' anchovy,Anchois devis,Boquerón de DeVis,أنشوفة دوفِيس,戴氏半棱鳀,NA,Encrasicholina devisi,(Whitley 1940),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ECT,1210600702,Shorthead anchovy,Anchois douanier,Boquerón aduanero,أنشوفة ديوانِيَّة,短头半棱鳀,NA,Encrasicholina heteroloba,(Rüppell 1837),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
STL,1210600703,Buccaneer anchovy,Anchois boucanier,Boquerón bucanero,أنشوفة مُغامرة,布氏半棱鳀,NA,Encrasicholina punctifer,Fowler 1938,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
AVA,1210601501,Atlantic anchoveta,Anchois queue jaune,Anchoveta rabo amarillo,NA,NA,NA,Cetengraulis edentulus,(Cuvier 1829),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
VEP,1210601503,Pacific anchoveta,Anchois chuchueco,Anchoveta chuchueco,NA,NA,NA,Cetengraulis mysticetus,(Günther 1867),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAA,1210602001,Regan's anchovy,Anchois argenté,Anchoa plata,أنشوفة فِضِّيَّة,黎氏小鳀,NA,Anchoa argentivittata,(Regan 1904),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAR,1210602002,Short anchovy,Anchois court,Anchoa pelada,أنشوفة قصيرة,突吻小鳀,NA,Anchoa curta,(Jordan & Gilbert 1882),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAM,1210602003,Marini's anchovy,NA,Aliche,NA,NA,NA,Anchoa marinii,Hildebrand 1943,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAC,1210602004,Bermuda anchovy,NA,NA,NA,NA,NA,Anchoa choerostoma,(Goode 1874),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAN,1210602005,Longnose anchovy,Anchois samase,Anchoa samasa,أنشوقة طويلة الأنف,长吻小鳀,NA,Anchoa nasus,(Kner & Steindachner 1867),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAE,1210602006,Eigenmann's anchovy,Anchois perlé,Anchoa perla,أنشوفة مُجوهرة,艾氏小鳀,NA,Anchoa eigenmannia,(Meek & Hildebrand 1923),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAI,1210602007,Slender anchovy,Anchois ouïeux,Anchoa chicotera,أنشوفة خَيأشيمة,墨西哥小鳀,NA,Anchoa ischana,(Jordan & Gilbert 1882),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAJ,1210602008,Rio anchovy,NA,NA,NA,NA,NA,Anchoa januaria,(Steindachner 1879),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAP,1210602010,Panama anchovy,Anchois du Panama,Anchoa chiminia,أنشوفة باناما,巴拿马小鳀,NA,Anchoa panamensis,(Steindachner 1877),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ENP,1210602011,Broad-striped anchovy,Anchois rayé,Anchoa legítima,NA,NA,NA,Anchoa hepsetus,(Linnaeus 1758),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAF,1210602012,Longfinger anchovy,Ancios fil,Anchoa de hebra,أنشوفة أُسبع طويل,丝鳍小鳀,NA,Anchoa filifera,(Fowler 1915),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAO,1210602013,Deep body anchovy,Anchois plat,Anchoa chata,أنشوفة مُسَطَّحة,高体小鳀,NA,Anchoa compressa,(Girard 1858),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAT,1210602014,Bigfin anchovy,NA,NA,NA,NA,NA,Anchoa pectoralis,Hildebrand 1943,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAU,1210602015,Cuban anchovy,Anchois cubain,Anchoa cubana,NA,NA,NA,Anchoa cubana,(Poey 1868),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ANB,1210602016,Bay anchovy,Anchois baie,Anchoa de caleta,NA,NA,NA,Anchoa mitchilli,(Valenciennes 1848),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAL,1210602017,Big-eye anchovy,Anchois caraïbe,Anchoa ojona,أنشوفة كبيرة العين أو أنشوفة الكرايب,大眼小鳀,NA,Anchoa lamprotaenia,Hildebrand 1943,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAY,1210602018,Shortfinger anchovy,Anchois longnez,Anchoa trompalarga,NA,NA,NA,Anchoa lyolepis,(Evermann & Marsh 1900),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAH,1210602020,Spicule anchovy,Anchois de fond,Anchoa de fondo,NA,NA,NA,Anchoa spinifer,(Valenciennes 1848),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAQ,1210602021,Piquitinga anchovy,NA,NA,NA,NA,NA,Anchoa tricolor,(Agassiz 1829),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAK,1210602022,Trinidad anchovy,Anchois machète,Anchoa machete,NA,NA,NA,Anchoa trinitatis,(Fowler 1915),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
AHC,1210602101,Bigscale anchovy,Anchois à grandes écailles,Anchoa plateada,أنشوفة كبيرة الحراشف,大鳞多耙鳀,NA,Anchovia macrolepidota,(Kner 1863),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
AHU,1210602102,Zabaleta anchovy,Anchois hachude,Anchoa bocona,NA,NA,NA,Anchovia clupeoides,(Swainson 1839),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EVN,1210602201,Cayenne anchovy,NA,NA,NA,NA,NA,Anchoviella cayennensis,(Puyo 1946),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EVE,1210602203,Elongate anchovy,NA,NA,NA,NA,NA,Anchoviella elongata,(Meek & Hildebrand 1923),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EVB,1210602204,Snubnose anchovy,NA,NA,NA,NA,NA,Anchoviella brevirostris,(Günther 1868),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ECD,1210602601,Goldspotted grenadier anchovy,Alice taches d'or,Anchoa granadera dorada,أنشوفة بُقَع ذهب,杜氏鲚,NA,Coilia dussumieri,Valenciennes 1848,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ECM,1210602603,Longjaw grenadier anchovy,NA,NA,NA,NA,NA,Coilia macrognathos,Bleeker 1852,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
RAA,1210602604,Osbeck's grenadier anchovy,Alice,Anchoa granadera,أنشوفة رُمَّان,凤鲚,NA,Coilia mystus,(Linnaeus 1758),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ESB,1210604603,Shorthead hairfin anchovy,NA,NA,NA,NA,NA,Setipinna breviceps,(Cantor 1849),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ESY,1210604604,Scaly hairfin anchovy,NA,NA,NA,NA,NA,Setipinna taty,(Valenciennes 1848),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ESR,1210605001,Commerson's anchovy,Anchois bombra,Boquerón bombra,أنشوفة بومبرا,康氏侧带小公鱼,NA,Stolephorus commersonii,Lacépède 1803,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ESA,1210605002,Bagan anchovy,NA,NA,NA,NA,NA,Stolephorus baganensis,Hardenberg 1933,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ESC,1210605003,China anchovy,NA,NA,NA,NA,NA,Stolephorus chinensis,(Günther 1880),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ESI,1210605004,Indian anchovy,Anchois indien,Boquerón indio,أنشوفة هِندية,印度侧带小公鱼,NA,Stolephorus indicus,(van Hasselt 1823),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ESN,1210605005,Hardenberg's anchovy,NA,NA,NA,NA,NA,Stolephorus insularis,Hardenberg 1933,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ESJ,1210605006,Spined anchovy,NA,NA,NA,NA,NA,Stolephorus tri,(Bleeker 1852),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ESW,1210605007,Spotty-face anchovy,Anchois joues tachetées,Boquerón de manchas,أنشوفة ذات خدود مُبَقَّعة,韦氏侧带小公鱼,NA,Stolephorus waitei,Jordan & Seale 1926,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EAD,1210605008,Andhra anchovy,NA,NA,NA,NA,NA,Stolephorus andhraensis,Babu Rao 1966,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EBF,1210605009,Broadhead anchovy,NA,NA,NA,NA,NA,Stolephorus brachycephalus,Wongratana 1983,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EGP,1210605010,Gulf of Carpenteria anchovy,NA,NA,NA,NA,NA,Stolephorus carpentariae,(De Vis 1882),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
STO,12106050XX,Stolephorus anchovies nei,Anchois Stolephorus nca,Boquerones Stolephorus nep,NA,NA,NA,Stolephorus spp,NA,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EYH,1210605201,Hamilton's thryssa,Anchois-moustache mamata,Bocarte bolinado,أنشوفة-شارب ماماطا,汉氏棱鳀,NA,Thryssa hamiltonii,(Gray 1835),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EYV,1210605202,Orangemouth anchovy,Anchois-moustache cristal,Bocarte cristal,أنشوفة-شارب  بِلَّوْر,黄吻棱鳀,NA,Thryssa vitrirostris,(Gilchrist & Thompson 1908),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EYM,1210605203,Malabar thryssa,Anchois-moustache malabar,Bocarte malabárico,أنشوفة-شارب مالابار,马拉巴棱鳀,NA,Thryssa malabarica,(Bloch 1795),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EYY,1210605204,Moustached thryssa,Anchois-moustache sardelle,Bocarte dompilón,أنشوفة مُشَوْرَبَة,中颌棱鳀,NA,Thryssa mystax,(Schneider 1801),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EYP,1210605205,Oblique-jaw thryssa,NA,NA,NA,NA,NA,Thryssa purava,(Hamilton 1822),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EYB,1210605207,Baelama anchovy,Anchois-moustache sardin,Bocarte belama,أنشوفة شارب سردين,贝拉棱鳀,NA,Thryssa baelama,(Forsskål 1775),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EYT,1210605208,Longjaw thryssa,Anchois-moustache cornu,Bocarte de cuernos,أنشوفة-شارب مُقرّن,长颌棱鳀,NA,Thryssa setirostris,(Broussonet 1782),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EYD,1210605209,Dussumier's thryssa,Anchois-moustache mandeli,Bocarte mandelo,أنشوفة شارب ماندِلي,杜氏棱鳀,NA,Thryssa dussumieri,(Valenciennes 1848),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EYE,1210605210,False baelama anchovy,NA,NA,NA,NA,NA,Thryssa encrasicholoides,(Bleeker 1852),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EYK,1210605211,Kammal thryssa,NA,NA,NA,NA,NA,Thryssa kammalensis,(Bleeker 1849),ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EYW,1210605215,Whitehead's thryssa,NA,NA,NA,NA,NA,Thryssa whiteheadi,Wongratana 1983,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
EYJ,1210605217,Short-tail thryssa,NA,NA,NA,NA,NA,Thryssa brevicauda,Roberts 1978,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
ANX,12106XXXXX,"Anchovies, etc. nei","Anchois, etc. nca","Anchoas, etc. nep",NA,NA,Анчоусовые,Engraulidae,NA,ENGRAULIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
DOB,1211100201,Dorab wolf-herring,Chirocentre dorab,Arencón dorab,NA,NA,NA,Chirocentrus dorab,(Forsskål 1775),CHIROCENTRIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CNU,1211100202,Whitefin wolf-herring,Chirocentre sabre,Arencón de aleta blanca,رنكة ثعلب أبيض الأجنحة,长颌宝刀鱼,NA,Chirocentrus nudus,(Swainson 1839),CHIROCENTRIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
DOS,12111002XX,Wolf-herrings nei,Chirocentres nca,Arencones nep,NA,NA,NA,Chirocentrus spp,NA,CHIROCENTRIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CLU,121XXXXXXX020,Clupeoids nei,Clupéoidés nca,Clupeoideos nep,NA,NA,Сельдевые,Clupeoidei,NA,NA,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
