3Alpha_Code,Taxonomic_Code,Name_en,Name_fr,Name_es,Name_ar,Name_cn,Name_ru,Scientific_Name,Author,Family_Group,Order_Group,Major_Group,Yearbook_Group,ISSCAAP_Group,CPC_Group,CPCdiv_Group
JSS,1210501222,Japanese sardinella,Sardinelle japonaise,Sardinela del Japón,سردينة اليابان,日本小沙丁鱼,NA,Sardinella zunasi,(Bleeker 1854),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SAM,1210501223,Bali sardinella,Sardinelle de Bali,Sardinela de Balí,سردينة بالي,黄泽小沙丁鱼,NA,Sardinella lemuru,Bleeker 1853,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
BSR,1210501224,Brazilian sardinella,Sardinelle de Brésil,Sardinela del Brasil,NA,NA,NA,Sardinella brasiliensis,(Steindachner 1879),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
FJS,1210501225,Fiji sardinella,NA,NA,NA,NA,NA,Sardinella fijiense,(Fowler & Bean 1923),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SIX,12105012XX,Sardinellas nei,Sardinelles nca,Sardinelas nep,NA,NA,Сардинеллы,Sardinella spp,NA,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
JAP,1210501301,Japanese pilchard,Pilchard du Japon,Sardina japonesa,NA,NA,Сардина-сардинопс дальневосточная,Sardinops melanostictus,(Temminck & Schlegel 1846),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CPI,1210501302,California pilchard,Pilchard de Californie,Sardina monterrey,NA,NA,NA,Sardinops caeruleus,(Girard 1854),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
CHP,1210501303,South American pilchard,Pilchard sudaméricain,Sardina sudamericana,NA,NA,Сардина-сардинопс перуанская,Sardinops sagax,de Buen 1958,CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
PIA,1210501305,Southern African pilchard,Pilchard de l'Afrique australe,Sardina de Africa austral,NA,NA,Сардина-сардинопс южноафриканская,Sardinops ocellatus,(Pappe 1853),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
SRP,1210501309,Australian pilchard,NA,NA,NA,NA,Сардина-сардинопс австралийско-новозеландская,Sardinops neopilchardus,(Steindachner 1879),CLUPEIDAE,CLUPEIFORMES,PISCES,"Fish, crustaceans and molluscs, etc.","Herrings, sardines, anchovies","Other pelagic fish, live, fresh or chilled","Fish live, fresh or chilled for human consumption"
