spp_id,aoh,country
14224,0.03894622921610485,BRA
16799,0.0025429514039237546,BRA
18144,0.040192899783342034,BRA
21974,0.004133799667304286,BRA
21975,0.015676799501118395,BRA
29404,3.57989187587419e-5,BRA
3414,0.05954457453763349,BRA
3415,0.03718380202576776,BRA
3921,0.03591605127957288,BRA
41778,0.03606367268611316,BRA
4819,0.0587991845827039,BRA
54010476,0.06677658429081443,BRA
6288,0.10752386976255515,BRA
6924,8.905098209118866e-4,BRA
6926,0.04804297813124687,BRA
89604632,0.006019760568936666,BRA
118355648,0.003041865047406867,CHN
12764,0.00425796446407066,CHN
136920,0.005111220772128863,CHN
14168,0.03657644575550292,CHN
14519,6.848466964688019e-4,CHN
15640,0.002248934362455961,CHN
15967,1.9637234558873528e-4,CHN
18230,4.134424610529095e-4,CHN
18231,4.0646632140747027e-4,CHN
19596,0.004762924406954202,CHN
20521,0.0036702210890380517,CHN
22824,0.010247202921983112,CHN
2892,0,CHN
29680,0.004797766814366232,CHN
3815,2.685991975678397e-4,CHN
39840,3.284208982420916e-5,CHN
39853,0.005284657282933879,CHN
39869,4.463065349740315e-4,CHN
39872,0.001209009261801839,CHN
41653,0.01986448756313511,CHN
41690,0.004570281603321549,CHN
41709,0.0016911913370725893,CHN
42398,0.005541925134446774,CHN
5529,0.002510594283581617,CHN
5953,0.002831912112429687,CHN
70205537,6.068348542127448e-4,CHN
714,0.0016700614351228243,CHN
7140,4.7413703623331254e-4,CHN
7787,0.0036270474167844993,CHN
85199559,0.0025851142673214904,CHN
85333513,0.00440611562754998,CHN
85567062,0.03644953694956276,CHN
8976,0.0021682910985480674,CHN
91934441,0.001954150877460382,CHN
9760,3.773651244409848e-4,CHN
9919,0,CHN
116989724,0,USA
14020,3.996880474733189e-4,USA
15735,8.447417070062531e-7,USA
1677,0.015429557587306181,USA
17830,2.6436707091313257e-4,USA
41636,0.03934468718949291,USA
