diet,fao_area_code,TaxonName,VBDesc,fm_emissions_total,fo_emissions_total,source
plant_diet,61,Engraulis japonicus,bottom trawls,95958207.98867017,52784101.044552416,Whole fish
plant_diet,61,Larimichthys polyactis,bottom trawls,26446703.924819376,13766007.2391853,Whole fish
plant_diet,61,Scomber japonicus,purse seines,7590552.753143249,3956001.2887731264,Whole fish
plant_diet,61,Sardinops sagax,seine nets,1724884.1353921702,897834.6625751269,Whole fish
plant_diet,61,Sardinops sagax,purse seines,1723135.9610923608,896924.7049435466,Whole fish
plant_diet,61,Clupeiformes,bottom trawls,1319451.6686937094,686799.4315899153,Whole fish
plant_diet,61,Clupea pallasii pallasii,purse seines,1245743.0371321158,648432.7013330268,Whole fish
plant_diet,61,Cololabis saira,seine nets,548967.8837031408,285748.1175204439,Whole fish
plant_diet,61,Clupeidae,mid-water trawls,208360.39157872938,110366.73993435668,Whole fish
plant_diet,61,Clupeiformes,mid-water trawls,116515.99563400606,60648.76908435254,Whole fish
plant_diet,61,Clupeidae,purse seines,55810.41776850751,29562.30700477085,Whole fish
plant_diet,61,Sardinella aurita,seine nets,36089.97644171956,19116.555761872325,Whole fish
plant_diet,61,Clupeiformes,purse seines,29505.349811948443,15358.090000954662,Whole fish
plant_diet,61,Sardinella,purse seines,21228.01076063956,11244.298041444108,Whole fish
plant_diet,61,Sardinella,mid-water trawls,18502.75781066,9800.75456704972,Whole fish
plant_diet,61,Mallotus villosus,purse seines,17120.420819430547,25552.831173563107,Whole fish
plant_diet,61,Sardinella,boat seines,13013.134900508747,6892.947668283069,Whole fish
plant_diet,61,Etrumeus whiteheadi,purse seines,12166.666753251959,6332.97907664175,Whole fish
plant_diet,61,Stolephorus,bottom trawls,8283.712869715133,4311.828485545736,Whole fish
plant_diet,61,Sardinella zunasi,seine nets,4749.7148605576585,2515.8838529992036,Whole fish
plant_diet,61,Rastrelliger kanagurta,purse seines,2088.8552872227483,1087.2884986825507,Whole fish
plant_diet,61,Stolephorus,mid-water trawls,1739.5709168942933,905.4794088184894,Whole fish
plant_diet,61,Engraulidae,purse seines,793.5371187043668,436.50401913757946,Whole fish
plant_diet,61,Stolephorus,purse seines,758.4142089623551,394.76887254289744,Whole fish
plant_diet,61,Engraulidae,mid-water trawls,541.8964500817484,298.0830673721677,Whole fish
